--cc-algorithm (Client),--cc-algorithm (Server),--initial-cwnd-packets (Client),--initial-cwnd-packets (Server),--max-data (Client),--max-data (Server),--max-stream-data (Client),--max-stream-data (Server),--max-stream-window (Client),--max-stream-window (Server),--max-streams-bidi (Client),--max-streams-bidi (Server),--max-streams-uni (Client),--max-streams-uni (Server),--max-window (Client),--max-window (Server),Goodput (kbps),Test Number
bbr2,bbr,9,10,12592617,12367655,1393561,1315577,12996241,13037949,100,101,112,110,20547501,21844299,29815.412327786533,2284
bbr2,bbr,9,12,13021051,12883680,1449598,760421,14140834,18455815,97,88,111,110,21410498,22294559,36302.20389644841,2285
bbr2,bbr,9,10,13144649,13262642,1522830,1222420,12769387,18943899,99,103,81,92,21251322,28857644,30914.483498729314,2286
bbr2,bbr,9,9,11605495,11295134,1358887,1282611,13989249,17272094,115,116,80,108,20943134,22652132,28206.160386868476,2287
bbr2,bbr,9,10,11993565,12512154,1427446,1253142,12466836,18690648,117,114,81,115,20714900,22150111,28212.781871944513,2288
bbr2,bbr,9,12,11182299,12724616,1491665,785270,14362855,19189235,116,87,97,109,21436973,22335569,28338.72387692129,2289
bbr2,bbr,9,10,12840674,12571581,1317831,753549,18208576,19015685,114,119,81,107,21170448,28995367,28433.761729601916,2290
bbr2,bbr,9,10,12156921,13119079,1461966,1313145,13685573,18558070,100,88,82,113,20436670,21939175,32160.394668539615,2291
bbr2,bbr2,9,11,10885501,12833864,1396019,1420766,14568837,18245260,99,111,80,111,21222594,22494557,28662.245319830115,2292
bbr2,bbr,9,10,13289369,12978763,1413169,1224573,13333377,12443993,115,104,83,109,21018118,21757747,28429.791502860397,2293
bbr2,bbr,9,8,12523484,12398435,1340709,1358674,14247948,18867553,85,102,80,108,21355319,22156215,34437.42125597162,2294
bbr2,bbr,9,12,12678569,12617833,1377860,1333887,13970365,17996041,117,87,102,115,20875220,21592702,28871.77633911209,2295
bbr2,bbr,9,10,12980571,12795857,1293404,1270991,14583568,19335380,113,101,81,107,21464962,29108285,32261.643424685986,2296
bbr2,bbr,9,10,11731180,13299257,1433218,793070,14382137,18603040,98,107,82,112,20321945,22946124,28354.318109146072,2297
bbr2,bbr,9,12,12154172,13153961,1360218,747738,13109761,19219587,105,117,80,108,21051456,22408495,28182.375264736555,2298
bbr2,bbr,9,9,11906751,12662578,1475755,1291477,14110311,18795620,116,103,83,110,20663976,22704666,30510.397442957186,2299
bbr2,bbr,9,10,13087420,12322664,1401546,1794398,13619296,18405152,112,89,81,114,21494817,22050124,28447.540846290303,2300
reno,reno,9,10,11451461,12963829,1453414,1372798,13917559,15330825,106,88,82,102,21203768,22315264,32158.520661923743,2301
bbr2,bbr,9,12,12856985,12775607,1492939,778116,14332290,14017509,115,115,80,111,20820012,21944466,33191.93622608765,2302
bbr2,bbr,9,10,10661433,12520565,1532472,1241142,16991456,19067132,117,112,92,109,21391943,22763370,30681.17662635391,2303
bbr2,bbr,9,11,13291353,13435580,1380651,1325972,13467615,18129772,114,89,80,112,21206916,29244392,28851.628151892746,2304
bbr2,bbr,9,8,12399847,16762252,1319561,813201,14601952,19293835,100,100,81,108,21441906,22141033,35182.967108323224,2305
bbr2,bbr,9,10,13149693,13051523,1419205,1303920,12730059,18601844,115,101,83,107,20624861,23114677,29917.942045856587,2306
bbr2,bbr,9,9,12978852,12467476,1365940,1211431,14156854,18913043,113,87,94,110,21016229,28917695,28557.080062965364,2307
bbr2,bbr,9,10,12712719,12879851,1336977,1383257,14420789,19474400,108,102,82,111,21505002,21655337,28584.307030725562,2308
bbr2,bbr,9,12,12150332,12674426,913732,1255144,13827251,18374057,116,88,81,109,21135275,22477730,28346.3943249144,2309
bbr2,bbr,9,10,11944467,12296488,1442057,761628,13209685,18747812,99,118,80,108,20805337,21892198,32103.82699786679,2310
bbr2,bbr,9,10,13165141,13225955,1512405,800432,14096966,19085762,117,104,81,112,20464592,22645728,30525.80786728568,2311
bbr2,bbr,9,10,11091663,12563496,1402931,1274311,12975724,18440260,112,103,82,110,21278010,22247570,28048.678383753544,2312
bbr2,bbr,9,12,11792546,12792296,1458532,751074,14623308,19314810,100,89,80,116,21462046,22404071,28048.819062452247,2313
bbr2,bbr,9,8,12520101,13019312,1304695,1337036,13843492,14836665,97,87,83,107,20149489,29174803,28930.19492668479,2314
bbr2,bbr2,9,11,10733256,12667402,1421791,729877,14208768,18238732,115,105,80,108,20875902,28768334,28281.99978489976,2315
bbr2,bbr,9,9,12850624,13651392,1349332,796030,13662343,18579245,116,100,81,115,21048979,22044335,36464.551139912786,2316
bbr2,bbr,9,10,13020104,12431030,1379711,1300237,14514362,19494872,98,88,81,98,21528472,21811380,28575.670132311294,2317
bbr2,bbr,9,10,12221705,13406076,1399785,1210982,13414090,19021104,114,101,82,89,21298584,28982987,31837.64433689286,2318
bbr2,bbr,9,12,15330633,11699551,1480976,819105,14229924,18012662,117,103,80,110,20567206,20554048,33923.93146147842,2319
reno,reno,9,10,12040160,12883567,1437340,1417145,12595252,18850144,100,102,80,93,21550783,22522143,31061.107225257056,2320
bbr2,bbr,9,10,13271151,14040365,1333719,768689,14015715,19558169,101,89,81,109,21233645,21612700,33495.07872050726,2321
